kabupaten	segment	honda_2026	total_market_2026	market_share_2026_pct	honda_2025	total_market_2025	market_share_2025_pct	delta_pp	market_contribution_to_province_2026_pct	period	source_file	provenance
Kodya Jambi	Sport Low	191	193	98.96373056994818	110	111	99.09909909909909	-0.13536852915090947	0.24417398345183572	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Kodya Jambi	Sport Mid	193	272	70.95588235294117	211	269	78.43866171003717	-7.482779357095993	0.34412084714455604	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Ma. Jambi	ALL	8441	10158	83.09706635164402	6369	7864	80.98931841302137	2.1077479386226514	12.851395460641177	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Ma. Jambi	AT High	1647	2513	65.5391961798647	1058	1710	61.87134502923976	3.6678511506249407	3.1793223855671666	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Ma. Jambi	AT Low	3251	3303	98.4256736300333	2350	2389	98.36751778987023	0.058155840163067296	4.17879102249437	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Ma. Jambi	AT Mid	1990	2094	95.03342884431709	1490	1573	94.723458359822	0.30997048449508213	2.6492244629437516	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Ma. Jambi	Cub High	28	154	18.181818181818183	27	114	23.684210526315788	-5.502392344497604	0.19483312669213837	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Ma. Jambi	Cub Low	675	677	99.70457902511079	655	655	100.0	-0.29542097488921115	0.8565066673414135	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Ma. Jambi	Cub Mid	571	1108	51.53429602888087	507	1095	46.3013698630137	5.23292616586717	1.4017863920447358	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Ma. Jambi	Sport High	0	1	0.0	1	1	100.0	-100.0	0.0012651501733255738	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
