section	kabupaten_source	kecamatan	dealer_or_pos	ring_status	source_file	sheet	source_cell	currentness
Kota Jambi	JAMBI	DANAU SIPIN	SSP Wahidin	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	U7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU SIPIN	TDM Jambi	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	V7	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	CKIS I	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	C8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	CKIS II	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	D8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	DAM Jambi	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	E8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	HSO Jambi	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	F8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	MWP Rimbo	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	G8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	NSS Jambi	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	H8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	PAS JAMBI	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	I8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	POS DAM Chandra	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	J8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	POS DAM Mayang	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	K8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	POS HSO Liverpool	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	L8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	POS SSM Mayang	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	M8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	POS TDM Buluran	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	N8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	SM Talang Bakung	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	O8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	SSM Rawasari	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	P8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	SSM The Hok	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	Q8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	SSP Abunjani	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	R8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	SSP Handil	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	S8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	SSP Paal VI	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	T8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	SSP Wahidin	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	U8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	DANAU TELUK	TDM Jambi	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	V8	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	CKIS I	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	C9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	CKIS II	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	D9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI SELATAN	DAM Jambi	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	E9	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
